capacity_fraction,selected_count,selected_fraction,reported_threshold,selected_positive_count,false_positive_count,false_negative_count,precision,recall,selected_mean_absolute_probability_error,selected_mean_brier_contribution,selected_mean_log_loss_contribution
0.05,53,0.0498588899341,0.173082792343,5,48,87,0.0943396226415,0.054347826087,0.275369271448,0.107367854972,0.379742758228
0.1,106,0.0997177798683,0.149200302397,14,92,78,0.132075471698,0.152173913043,0.275980914599,0.124474454016,0.418776737609
0.2,212,0.199435559737,0.118593479612,23,189,69,0.108490566038,0.25,0.234944249356,0.101924777657,0.35890163267
