method,sample_size,positive_count,positive_rate,average_precision,roc_auc,brier_score,log_loss,calibration_intercept,calibration_slope,mean_predicted_probability,passes_log_loss_guardrail,within_brier_indifference_margin,selected
uncalibrated,328,25,0.0762195121951,0.139377586849,0.622838283828,0.0696816146944,0.263965857093,-0.687705767782,0.749763659497,0.0847324970171,True,True,True
sigmoid,328,25,0.0762195121951,0.139377586849,0.622838283828,0.0698048770045,0.265352879662,1.21830336333,1.35600386255,0.0599986641411,True,True,False
isotonic,328,25,0.0762195121951,0.109380410987,0.603432343234,0.0707697379749,0.565686797499,-2.53587396295,-0.00758336189313,0.056712667417,False,False,False
