fold,model,fit_time,validation_label_cutoff,training_rows,training_positive_count,training_prevalence,sample_size,positive_count,positive_rate,average_precision,roc_auc,brier_score,log_loss
fold_1,population_prior,2025-01-01T00:00:00,2025-07-01T00:00:00,4452,383,0.0860287511231,2133,217,0.101734646038,0.101734646038,0.5,0.091631382969,0.330367092788
fold_1,logistic_regression,2025-01-01T00:00:00,2025-07-01T00:00:00,4452,383,0.0860287511231,2133,217,0.101734646038,0.137794740551,0.576614105808,0.0974161659908,0.344315273628
fold_1,random_forest,2025-01-01T00:00:00,2025-07-01T00:00:00,4452,383,0.0860287511231,2133,217,0.101734646038,0.126868333167,0.533470267358,0.091317384684,0.32892255749
fold_2,population_prior,2025-07-01T00:00:00,2026-01-01T00:00:00,6600,601,0.0910606060606,2222,182,0.0819081908191,0.0819081908191,0.5,0.0752830058006,0.283927387016
fold_2,logistic_regression,2025-07-01T00:00:00,2026-01-01T00:00:00,6600,601,0.0910606060606,2222,182,0.0819081908191,0.130534957629,0.608478776126,0.0748460409242,0.280234971381
fold_2,random_forest,2025-07-01T00:00:00,2026-01-01T00:00:00,6600,601,0.0910606060606,2222,182,0.0819081908191,0.133434730434,0.570868347339,0.0827382107474,0.312377114599
fold_3,population_prior,2026-01-01T00:00:00,2026-07-01T00:00:00,8839,785,0.0888109514651,2073,191,0.0921369995176,0.0921369995176,0.5,0.0836588354331,0.307521972438
fold_3,logistic_regression,2026-01-01T00:00:00,2026-07-01T00:00:00,8839,785,0.0888109514651,2073,191,0.0921369995176,0.165227064772,0.644627248499,0.0821199160501,0.297927363539
fold_3,random_forest,2026-01-01T00:00:00,2026-07-01T00:00:00,8839,785,0.0888109514651,2073,191,0.0921369995176,0.151894148694,0.623960251709,0.0822293106417,0.299839175853
